t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39
42,0.26464567,0.6225964,0.61195505,7.768833,-1.7467529,0.6749364,0.8958932,3.0586417,5.193655,4.2330933,-4.0742226,-3.5503922,0.49041584,4.599456,2.518797,4.717949,-1.4639487,-1.6375853,-1.2045919,0.3375898,4.3709383,-4.353423,-2.4043493,4.947066,5.252411,-1.8421987,4.051558,7.940247,3.4937503,0.9339171,-1.4387559,-0.5098559,1.174515,1.9308418,5.6089034,0.4605315,-2.8234093,0.44864374,8.300934,-1.468193
43,1.0660788,1.0532211,1.2569358,7.675598,-1.2015691,1.5043125,1.5020099,3.5506706,5.6665134,2.3249881,-4.8381515,-2.2531652,-0.43829882,4.7593594,3.7861655,3.8879058,-1.9178553,-0.72287315,-0.87248063,0.4255509,4.4882574,-4.300005,-1.9076579,4.068504,5.4946547,-1.4817342,3.9959643,8.839308,2.2092452,-0.082398176,-1.0433829,-0.15018673,1.4525063,2.605449,5.5745115,-0.49570516,-2.286864,-0.2253634,8.292502,-0.76415217
44,1.4780296,1.5078192,1.9785962,7.517208,-0.6786073,2.0834615,2.2406554,4.1203265,5.6584034,0.19047816,-4.673764,-1.2977958,-0.83584875,4.7146235,4.909961,2.632371,-2.1808295,0.101376295,-0.47535822,0.63393533,4.568753,-4.1670165,-1.2633457,3.4972699,5.6836467,-0.9561143,3.9810326,9.309738,0.590032,-0.36802453,-0.58457625,0.17318717,1.7744541,3.296398,5.320247,-1.3792504,-1.5082451,-0.68217504,8.237567,0.38510954
45,1.4727697,1.9228718,2.7673798,7.287816,-0.28212586,2.481592,3.0687146,4.7065797,5.020155,-1.7181088,-3.811048,-0.8256658,-0.85331196,4.6061735,5.685343,1.1131941,-2.1326132,0.71301484,0.0010182319,0.94316775,4.589871,-3.952701,-0.5683597,3.2790008,5.840096,-0.33482498,4.0631905,9.33013,-0.9587202,0.13896021,-0.16666427,0.51601326,2.1457074,3.9762733,4.7892222,-2.0800855,-0.54728884,-0.75765306,8.149517,1.6619132
46,1.1400692,2.2817144,3.6198149,6.9691935,-0.07051423,2.7798007,3.967537,5.166672,3.7229967,-3.0107703,-2.6327686,-0.6476576,-0.6971233,4.5186872,6.0461035,-0.42446724,-1.7184476,1.0780077,0.5289738,1.3335935,4.5300584,-3.6742978,0.08317365,3.3984022,5.9818316,0.31320766,4.252595,8.947044,-2.0885298,1.2168956,0.31024975,0.88486606,2.5760825,4.5954046,3.9623528,-2.5207388,0.43347213,-0.35245323,8.076363,2.730874
47,0.63174397,2.6033576,4.533285,6.52245,-0.05904058,3.0399153,4.918946,5.283368,1.9360688,-3.4999878,-1.562006,-0.49946272,-0.45889786,4.4995475,6.023972,-1.7500176,-0.98007315,1.2931848,1.0632094,1.7852699,4.370928,-3.3640294,0.621155,3.7932937,6.125948,0.92480475,4.5116415,8.24818,-2.6593451,2.487078,1.0070248,1.2595233,3.0612965,5.0822806,2.869727,-2.6776426,1.2342681,0.5036713,8.076913,3.320368
48,0.11451186,2.8940017,5.4885454,5.8878646,-0.22478862,3.285904,5.8776755,4.8279424,0.032969028,-3.244435,-0.86705077,-0.26350707,-0.15498343,4.574507,5.6866837,-2.7227,-0.048729155,1.5348363,1.575716,2.270559,4.099123,-3.0578606,1.008265,4.379157,6.2904577,1.4421262,4.7727323,7.344721,-2.7418842,3.5997484,1.9750522,1.6034268,3.5650616,5.350778,1.5968901,-2.5654297,1.7158923,1.6596289,8.166908,3.2689216
49,-0.25261778,3.1274133,6.428125,5.005678,-0.50597495,3.4985628,6.7538733,3.681271,-1.5167615,-2.5119693,-0.52568215,0.042988256,0.21321556,4.7470365,5.10046,-3.315454,0.8892572,1.9569429,2.0636053,2.7425659,3.7083652,-2.7807674,1.2352526,5.0710607,6.490872,1.8100094,4.96525,6.3571873,-2.5070624,4.3707724,3.1305015,1.8868877,4.0206666,5.324926,0.28498685,-2.2122972,1.8665814,2.910612,8.281771,2.5438128
50,-0.33043376,3.2873516,7.251248,3.8553395,-0.8001633,3.6302516,7.424969,1.9555651,-2.3317435,-1.686624,-0.33103117,0.37872756,0.6475094,4.997485,4.3146625,-3.5879083,1.6495016,2.6185923,2.535405,3.130585,3.204407,-2.535269,1.3109288,5.7946167,6.7309914,1.9755633,5.0434084,5.403115,-2.1121104,4.791681,4.3388066,2.1102548,4.3535385,4.9759502,-0.8914137,-1.6625667,1.8060614,4.0814447,8.2772045,1.2586883
51,-0.037123818,3.4456952,7.842681,2.4812691,-0.97611827,3.6454701,7.7870317,0.010194404,-2.2567449,-1.0747403,-0.11690979,0.72531116,1.1509664,5.285109,3.3601928,-3.630281,2.1017394,3.4766698,3.0014074,3.3481991,2.613765,-2.2998717,1.2568218,6.487427,6.991831,1.8953476,5.0079513,4.5868073,-1.654202,4.956253,5.492371,2.290558,4.5032773,4.3483214,-1.7778018,-0.9985849,1.7252203,5.0867453,7.96827,-0.32730973
52,0.5691662,3.7837977,8.1061945,0.9702269,-0.90639865,3.5709567,7.8119345,-1.6937125,-1.3825814,-0.70766646,0.15953396,1.0823137,1.7233173,5.5478587,2.2596679,-3.508033,2.1922143,4.421599,3.4713628,3.3112516,1.991568,-2.0401196,1.1097206,7.0994515,7.2249384,1.5529432,4.912608,3.988413,-1.1802926,4.9861507,6.5319633,2.42446,4.4341354,3.5562532,-2.2965698,-0.3378006,1.7904056,5.9316583,7.191568,-1.8807462
