t,z0,z1,z2,z3,z4,z5
246,0.2054716,0.30693698,-0.2527406,-0.5982575,0.11225755,0.49921787
247,0.20468444,0.32178548,-0.23743875,-0.6069172,0.090334974,0.49708146
248,0.20330946,0.33630854,-0.22163855,-0.61488116,0.06838204,0.49431092
249,0.20133477,0.35046482,-0.20533055,-0.622165,0.046437234,0.49093875
250,0.19875334,0.36421165,-0.18850681,-0.6287822,0.024535852,0.4869997
251,0.19556318,0.37750515,-0.17116132,-0.63474363,0.002709862,0.48253006
252,0.19176763,0.39030075,-0.1532906,-0.6400572,-0.019012202,0.47756737
253,0.18737541,0.40255338,-0.134894,-0.6447275,-0.04060531,0.4721501
254,0.18240078,0.4142179,-0.11597425,-0.64875567,-0.062047966,0.46631712
255,0.17686346,0.4252494,-0.09653779,-0.652139,-0.083322175,0.46010736
256,0.1707887,0.43560353,-0.0765951,-0.6548711,-0.10441339,0.4535594
257,0.16420718,0.44523695,-0.05616101,-0.6569414,-0.1253104,0.4467112
258,0.15715471,0.45410758,-0.03525493,-0.6583354,-0.1460052,0.43959972
259,0.14967221,0.462175,-0.01390104,-0.6590348,-0.16649276,0.43226045
